,genre_ids,id,language,title,overview,popularity,release_date,vote_average,vote_count,release_month,release_year,genre
3157,"[16, 28, 878]",39324,ja,ドラゴンボールZ・絶望への反抗!!残された超戦士・悟飯とトランクス,It has been thirteen years since the Androids began their killing rampage and Son Gohan is the only person fighting back. He takes Bulma's son Trunks as a student and even gives his own life to save Trunks's. Now Trunks must figure out a way to change this apocalyptic future,6.606,1993-02-24,7.598,546,February,1993,Action+Animation+Science Fiction
3158,"[12, 14, 10749, 10751]",2270,en,Stardust,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm. His journey takes him into a world beyond his wildest dreams and reveals his true identity.",6.5978,2007-08-10,7.283,4137,August,2007,Adventure+Family+Fantasy+Romance
3159,"[18, 16, 10751]",10545,en,The Hunchback of Notre Dame,"Isolated bell-ringer Quasimodo wishes to leave Notre Dame tower against the wishes of Judge Claude Frollo, his stern guardian and Paris' strait-laced Minister of Justice. His first venture to the outside world finds him Esmeralda, a kind-hearted and fearless Romani woman who openly stands up to Frollo's tyranny.",6.531,1996-06-21,7.1,5068,June,1996,Animation+Drama+Family
3161,"[16, 35, 10751, 12]",10112,en,The Aristocats,"When Madame Adelaide Bonfamille leaves her fortune to Duchess and her children—Bonfamille’s beloved family of cats—the butler plots to steal the money and kidnaps the legatees, leaving them out on a country road. All seems lost until the wily Thomas O’Malley Cat and his jazz-playing alley cats come to the aristocats’ rescue.",6.7244,1970-12-24,7.286,5094,December,1970,Adventure+Animation+Comedy+Family
3162,"[28, 80, 18]",945937,en,Fast Charlie,"When his aging mob boss is whacked, Charlie Swift, a loyal friend and hired gun, will stop at nothing to destroy the upcoming crew that took him out.",6.7236,2023-12-08,6.24,208,December,2023,Action+Crime+Drama
3163,"[14, 12, 10751]",532639,en,Pinocchio,A wooden puppet embarks on a thrilling adventure to become a real boy.,6.7233,2022-09-07,6.321,1631,September,2022,Adventure+Family+Fantasy
3164,"[35, 18]",9571,en,Dazed and Confused,"The adventures of a group of Texas teens on their last day of school in 1976, centering on student Randall Floyd, who moves easily among stoners, jocks and geeks. Floyd is a star athlete, but he also likes smoking weed, which presents a conundrum when his football coach demands he sign a ""no drugs"" pledge.",6.723,1993-09-24,7.31,2100,September,1993,Comedy+Drama
3166,[53],9944,en,The Pelican Brief,"A law student's theory about the recent deaths of two Supreme Court justices embroils her in a far-reaching web of murder, corruption, and greed.",6.7213,1993-09-17,6.588,1643,September,1993,Thriller
3167,"[35, 80]",7552,en,Fun with Dick and Jane,"After Dick Harper loses his job at Globodyne in an Enron-esque collapse, he and his wife, Jane, turn to crime in order to handle the massive debt they now face. Two intelligent people, Dick and Jane actually get pretty good at robbing people and even enjoy it -- but they have second thoughts when they're reminded that crime can hurt innocent people. When the couple hears that Globodyne boss Jack McCallister actually swindled the company, they plot revenge.",6.7188,2005-12-21,6.207,2485,December,2005,Comedy+Crime
3168,"[28, 35, 10749]",27573,en,The Bounty Hunter,"Milo Boyd, a down-on-his-luck bounty hunter, thinks he's seeing an upswing in fortune when he gets a call to bring in his bail-jumping ex-wife, a reporter named Nicole. Milo considers the job an easy payday, but Nicole quickly escapes to chase a lead on a murder case. The former spouses play an escalating game of one-upmanship, until they suddenly find themselves on the run for their lives.",6.7166,2010-03-16,5.855,2877,March,2010,Action+Comedy+Romance
3172,"[18, 12, 10751]",508763,en,A Dog's Way Home,"The adventure of Bella, a dog who embarks on an epic 400-mile journey home after she is separated from her beloved human.",6.7149,2019-01-10,7.372,1125,January,2019,Adventure+Drama+Family
3173,"[28, 53, 80]",891699,en,Silent Night,"A tormented father witnesses his young son die when caught in a gang's crossfire on Christmas Eve. While recovering from a wound that costs him his voice, he makes vengeance his life's mission and embarks on a punishing training regimen in order to avenge his son's death.",6.7135,2023-11-30,6.191,808,November,2023,Action+Crime+Thriller
3176,[18],552532,en,Charm City Kings,"Mouse desperately wants to join The Midnight Clique, the infamous Baltimore dirt bike riders who rule the summertime streets. When Midnight’s leader, Blax, takes 14-year-old Mouse under his wing, Mouse soon finds himself torn between the straight-and-narrow and a road filled with fast money and violence.",6.712,2020-01-27,7.8,479,January,2020,Drama
3177,"[35, 10751]",9714,en,Home Alone 3,"9-year-old Alex Pruitt is home alone with the chicken pox. Turns out, due to a mix-up among nefarious spies, Alex was given a toy car concealing a top-secret microchip. Now Alex must fend off the spies as they try to break into his house to get it back.",6.7063,1997-12-12,5.3,3076,December,1997,Comedy+Family
3180,"[10770, 12, 16, 35, 14, 10402, 878, 28, 18]",537061,en,Steven Universe: The Movie,"Two years after bringing peace to the galaxy, Steven Universe sees his past come back to haunt him in the form of a deranged Gem who wants to destroy the Earth.",6.7012,2019-10-07,8.158,799,October,2019,Action+Adventure+Animation+Comedy+Drama+Fantasy+Music+Science Fiction+TV Movie
3183,"[18, 9648, 53]",602147,en,Inheritance,"The patriarch of a wealthy and powerful family suddenly passes away, leaving his wife and daughter with a shocking secret inheritance that threatens to unravel and destroy their lives.",6.6991,2020-04-30,6.3,667,April,2020,Drama+Mystery+Thriller
3184,"[18, 36, 10749]",4517,en,Elizabeth: The Golden Age,"When Queen Elizabeth's reign is threatened by ruthless familial betrayal and Spain's invading army, she and her shrewd adviser must act to safeguard the lives of her people.",6.6973,2007-09-09,6.7,1244,September,2007,Drama+History+Romance
3186,"[16, 14, 18]",507411,ja,劇場版 夏目友人帳 ～うつせみに結ぶ～,"The movie of  Natsume's Book of Friends series. Natsume has been busy, navigating between humans and Yokai when he coincidentally reunites with an old classmate, Yuki. It brings back painful memories of a certain Yokai. Meanwhile, Natsume also became acquainted with Yorie Tsumura, a woman in the memories of a Yokai whose name he had returned. Yorie knew much about Reiko, but now lived a peaceful life with her only son, Mukuo. Being with this family was comforting for Natsume, but apparently a mysterious Yokai has been lurking in their town. On the way back from investigating, a ""Yokai seed"" that had latched itself to Nyanko Sensei drops into the Fujiwaras' garden and grows overnight into a fruit tree. When Nyanko Sensei eats a fruit that is somehow shaped like himself, he suddenly splits into three!",6.6957,2018-09-29,7.3,24,September,2018,Animation+Drama+Fantasy
3187,"[36, 18, 12]",975511,en,The Return,"After twenty years away, Odysseus washes up on the shores of Ithaca, haggard and unrecognizable. The king has finally returned home, but much has changed in his kingdom since he left to fight in the Trojan war.",6.695,2024-09-07,6.542,264,September,2024,Adventure+Drama+History
3188,"[35, 28, 878]",80035,en,The Watch,"Four everyday suburban guys come together as an excuse to escape their humdrum lives one night a week. But when they accidentally discover that their town has become overrun with aliens posing as ordinary suburbanites, they have no choice but to save their neighborhood – and the world – from total extermination.",6.6947,2012-07-26,5.59,2338,July,2012,Action+Comedy+Science Fiction
3189,"[18, 36]",487616,fr,Curiosa,"A passionate love story set against a backdrop of sexual freedom, loosely based on the relationship between 19th century authors Pierre Louÿs and Marie de Régnier.",6.6929,2019-04-03,5.928,215,April,2019,Drama+History
3191,[18],205587,en,The Judge,"A successful lawyer returns to his hometown for his mother's funeral only to discover that his estranged father, the town's judge, is suspected of murder.",6.6917,2014-10-08,7.324,4180,October,2014,Drama
3194,"[36, 18]",878361,en,Big George Foreman,"Fueled by an impoverished childhood, George Foreman channeled his anger into becoming an Olympic Gold medalist and World Heavyweight Champion, followed by a near-death experience that took him from the boxing ring to the pulpit. But when he sees his community struggling spiritually and financially, Foreman returns to the ring and makes history by reclaiming his title, becoming the oldest and most improbable World Heavyweight Boxing Champion ever.",6.6894,2023-04-27,7.534,307,April,2023,Drama+History
3196,"[18, 36]",763165,en,The Burial,"When a handshake deal goes sour, funeral home owner Jeremiah O'Keefe enlists charismatic, smooth-talking attorney Willie E. Gary to save his family business. Tempers flare and laughter ensues as the unlikely pair bond while exposing corporate corruption and racial injustice.",6.6871,2023-10-06,7.121,521,October,2023,Drama+History
3197,[35],564140,de,Kalte Füße,"Although he actually just wanted to steal money, the crook Denis finds himself in the position of caretaking for the stroke patient Raimund. When Raimund's granddaughter Charlotte turns up, Denis has enough of it and wants to skip. But because of an huge blizzard, escape is unimaginable.",6.6866,2018-11-21,6.667,84,November,2018,Comedy
3198,[27],492621,en,The Midnight Man,"A girl and her friends find a game in the attic that summons a creature known as The Midnight Man, who uses their worst fears against them.",6.6862,2016-09-30,5.808,419,September,2016,Horror
3200,"[16, 28, 12, 35, 14]",290271,ja,ONE PIECE “3D2Y” エースの死を越えて! ルフィ仲間との誓い,"The special takes place during the two year before the Straw Hats reunite on Sabody.  Luffy is currently in Rusukaina training to get stronger to take on the New World. However the training  is interrupted when Hancock's sisters, Marigold and Sandersonia, are kidnapped by the Byrnndi World,  a pirate who was locked away on Level 6 of Impel Down but escaped during Luffy's invasion to save Ace,  in order to lure Hancock to him and use her as a hostage against the World Government due to her  Shichibukai status. Thus Luffy and Hancock head off to confront him and save Hancock's sisters.",7.2581,2014-12-31,7.1,179,December,2014,Action+Adventure+Animation+Comedy+Fantasy
3201,"[12, 35, 10751]",11774,en,Lemony Snicket's A Series of Unfortunate Events,"Three wealthy children's parents are killed in a fire. When they are sent to a distant relative, they find out that he is plotting to kill them and seize their fortune.",6.1672,2004-12-16,6.813,5056,December,2004,Adventure+Comedy+Family
3202,[35],100042,en,Dumb and Dumber To,"20 years since their first adventure, Lloyd and Harry go on a road trip to find Harry's newly discovered daughter, who was given up for adoption.",6.3607,2014-11-12,5.554,3231,November,2014,Comedy
3203,"[18, 9648]",30943,en,The Deep End of the Ocean,"A three-year-old boy disappears during his mother's high school reunion. Nine years later, by chance, he turns up in the town in which the family has just relocated.",8.2319,1999-03-12,6.5,480,March,1999,Drama+Mystery
3204,"[35, 18, 36]",522,en,Ed Wood,"The mostly true story of the legendary ""worst director of all time"", who, with the help of his strange friends, filmed countless B-movies without ever becoming famous or successful.",6.8496,1994-09-28,7.489,2363,September,1994,Comedy+Drama+History
3205,"[35, 14, 10751]",35019,en,Nanny McPhee and the Big Bang,"Nanny McPhee appears at the door of a harried young mother who is trying to run the family farm while her husband is away at war. But once she’s arrived, Nanny discovers that the children are fighting a war of their own against two spoiled city cousins who have just moved in. Relying on everything from a flying motorcycle and a statue that comes to life to a tree-climbing piglet and a baby elephant, Nanny uses her magic to teach her mischievous charges five new lessons.",7.1437,2010-03-26,6.295,1859,March,2010,Comedy+Family+Fantasy
3206,"[10749, 35]",272693,en,The DUFF,"Bianca's universe turns upside down when she learns that her high school refers to her as a ‘DUFF' (Designated Ugly Fat Friend). Hoping to erase that label, she enlists the help of a charming jock and her favorite teacher. Together they'll face the school's mean girl and remind everyone that we are all someone's DUFF… and that's totally fine.",6.3963,2015-02-20,6.774,4384,February,2015,Comedy+Romance
3207,"[18, 10749]",688,en,The Bridges of Madison County,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,6.8952,1995-06-02,7.717,2212,June,1995,Drama+Romance
3208,[18],3782,ja,生きる,"Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life.",6.1821,1952-10-09,8.317,1194,October,1952,Drama
3209,"[28, 18, 10749, 53]",4588,zh,色‧戒,"During World War II, a secret agent must seduce then assassinate an official who works for the Japanese puppet government in Shanghai. Her mission becomes clouded when she finds herself falling in love with the man she is assigned to kill.",6.7909,2007-09-24,7.2,718,September,2007,Action+Drama+Romance+Thriller
3210,"[28, 12, 10752]",948713,en,The Last Kingdom: Seven Kings Must Die,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.",6.868,2023-04-14,7.247,716,April,2023,Action+Adventure+War
3211,"[27, 53]",27374,en,Lake Mungo,"After 16-year-old Alice Palmer drowns at a local dam, her family experiences a series of strange, inexplicable events centered in and around their home. Unsettled, the Palmers seek the help of a psychic and parapsychologist, who discovers that Alice led a secret, double life. At Lake Mungo, Alice's secret past emerges.",5.9896,2009-07-30,6.202,572,July,2009,Horror+Thriller
3212,"[18, 53]",10734,en,Escape from Alcatraz,"San Francisco Bay, January 18, 1960. Frank Lee Morris is transferred to Alcatraz, a maximum security prison located on a rocky island. Although no one has ever managed to escape from there, Frank and other inmates begin to carefully prepare an escape plan.",5.9068,1979-06-22,7.507,2879,June,1979,Drama+Thriller
3213,"[35, 18]",9090,en,"To Wong Foo, Thanks for Everything! Julie Newmar","Manhattan drag queens Vida Boheme and Noxeema Jackson impress regional judges in competition, securing berths in the Nationals in Los Angeles. When the two meet pathetic drag novice Chi-Chi Rodriguez — one of the losers that evening — the charmed Vida and Noxeema agree to take the hopeless youngster under their joined wing. Soon the three set off on a madcap road trip across America and struggle to make it to Los Angeles in time.",6.9259,1995-09-07,7.4,680,September,1995,Comedy+Drama
3214,"[28, 12, 18, 53]",9619,en,Dante's Peak,"Volcanologist Harry Dalton comes to the sleepy town of Dante's Peak to investigate the recent rumblings of the dormant volcano the burg is named for. Before long, his worst fears are realized when a massive eruption hits, and immediately, Harry, the mayor and the townspeople find themselves fighting for their lives amid a catastrophic nightmare.",6.4138,1997-02-07,6.21,1905,February,1997,Action+Adventure+Drama+Thriller
3215,"[18, 28, 36, 53]",612,en,Munich,"During the 1972 Olympic Games in Munich, eleven Israeli athletes are taken hostage and murdered by a Palestinian terrorist group known as Black September. In retaliation, the Israeli government recruits a group of Mossad agents to track down and execute those responsible for the attack.",6.9112,2005-12-23,7.143,2732,December,2005,Action+Drama+History+Thriller
3216,"[28, 18, 10752]",407375,en,Sniper: Ghost Shooter,"Elite snipers Brandon Beckett and Richard Miller are fighting extremists in the Middle East when the Colonel gives them a new mission: to protect a gas pipeline stretching from the Republic of Georgia to Western Europe from extremists eager to make a political statement. But when skirmishes with the enemy lead to U.S. snipers being killed by a ghost shooter who locks into their exact location, a security breach is suspected. Fingers are pointed and battle lines are drawn, all leading up to an explosive climax.",6.7854,2016-08-02,6.297,261,August,2016,Action+Drama+War
3217,"[10751, 16, 10749, 14]",14128,en,Cinderella II: Dreams Come True,"As a newly crowned princess, Cinderella quickly learns that life at the Palace - and her royal responsibilities - are more challenging than she had imagined. In three heartwarming tales, Cinderella calls on her animal friends and her Fairy Godmother to help as she brings her own grace and charm to her regal role and discovers that being true to yourself is the best way to make your dreams come true.",6.5542,2002-02-23,6.104,1474,February,2002,Animation+Family+Fantasy+Romance
3218,"[27, 9648]",1328814,en,Amityville: Where the Echo Lives,"When paranormal investigator Heather West receives a call from a terrified woman who claims her house is inhabited by a ghost, she discovers the building has a horrifying history. After a presence from beyond our world reaches out to her, Heather begins to feel a pull to the other side of the spirit plane. Can this hunter of specters deliver an innocent soul to a place of peace and discover an eternal truth in time to save her own life?",6.195,2024-10-28,5.3,16,October,2024,Horror+Mystery
3219,"[16, 10770, 14, 28]",755812,fr,"Miraculous World : New York, les héros unis","Marinette’s class is headed to New York, the city of superheroes, for French-American Friendship Week. The whole class is there...except Adrien, whose father refuses to let him go!",6.8694,2020-09-25,8.084,1107,September,2020,Action+Animation+Fantasy+TV Movie
3220,"[18, 10749]",417678,en,"Everything, Everything","A teenager who's lived a sheltered life because she's allergic to everything, falls for the boy who moves in next door.",6.56,2017-05-18,7.2,3694,May,2017,Drama+Romance
3221,[27],764,en,The Evil Dead,"In 1979, a group of college students find a Sumerian Book of the Dead in an old wilderness cabin they've rented for a weekend getaway.",6.9391,1981-09-10,7.279,4103,September,1981,Horror
3222,[18],580917,en,Working Man,"When the last factory in a small Rust Belt town closes its doors, an unlikely hero emerges in dutiful, quiet Allery Parkes. A career employee of the factory, the aging Allery can't reconcile how to live a life simply sitting at home doing nothing. Against the advice and pleas of his loving wife Iola, he forms an unlikely friendship with his charismatic neighbor Walter Brewer in order to revive the defunct factory.",6.8171,2019-02-02,7.7,8,February,2019,Drama
3223,"[35, 18]",1422179,no,På villspor,"When chaotic single mother Emilie hits a new low, she looks to her brother for help. He has a brilliant plan: to enter a cross-country ski marathon.",5.2664,2025-02-27,6.261,23,February,2025,Comedy+Drama
3224,"[878, 27, 28]",340102,en,The New Mutants,"Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.",7.1435,2020-04-02,6.098,3485,April,2020,Action+Horror+Science Fiction
3225,"[35, 10749]",2770,en,American Pie 2,"After a year apart - attending different schools, meeting different people - the guys rent a beach house and vow to make this the best summer ever. As it turns out, whether that will happen or not has a lot to do with the girls. Between the wild parties, outrageous revelations and yes, a trip to band camp, they discover that times change and people change, but in the end, it's all about sticking together.",6.8823,2001-08-10,6.237,4995,August,2001,Comedy+Romance
3226,"[28, 35, 53, 10749]",37821,en,Killers,"When an elite assassin marries a beautiful computer whiz after a whirlwind romance, he gives up the gun and settles down with his new bride. That is, until he learns that someone from his past has put a contract out on his life.",6.7739,2010-06-04,5.957,2215,June,2010,Action+Comedy+Romance+Thriller
3227,"[28, 35]",1267177,en,John Hick,An assassin by the name of John Hick gets a mysterious contract to eliminate two targets in his own garage!,5.4038,2023-07-27,10.0,1,July,2023,Action+Comedy
3229,[27],680593,en,The Dark and the Wicked,"On a secluded farm in a nondescript rural town, a man is slowly dying. His family gathers to mourn, and soon a darkness grows, marked by waking nightmares and a growing sense that something evil is taking over the family.",6.4275,2020-04-16,6.207,475,April,2020,Horror
3231,[],1441483,en,Taboo,,7.6679,1980-03-07,6.5,2,March,1980,
3232,"[80, 18]",1008409,en,The Bikeriders,"After a chance encounter, headstrong Kathy is drawn to Benny, member of Midwestern motorcycle club the Vandals. As the club transforms into a dangerous underworld of violence, Benny must choose between Kathy and his loyalty to the club.",6.5851,2024-06-19,6.704,890,June,2024,Crime+Drama
3233,"[53, 80, 18, 9648]",322,en,Mystic River,The lives of three men who were childhood friends are shattered when one of them suffers a family tragedy.,6.3376,2003-10-07,7.745,6872,October,2003,Crime+Drama+Mystery+Thriller
3234,"[16, 14, 12]",41498,ja,ワンピース フィルム ストロングワールド,"20 years after his escape from Impel Down, the legendary pirate Shiki, the Golden Lion, reappears causing massive upheaval to the Marines. During his long seclusion, he was able to come up with a scheme to bring the World Government to his knees. On his way to execute the plan, Shiki crosses paths with the Straw Hat Pirates and becomes so impressed with Nami's knowledge of meteorology that he abducts her to forcedly enlist her into his crew. Luffy and the gang end up on a strange land populated with monstrous beasts as they desperately search for Shiki and Nami.",6.9621,2009-12-12,7.5,358,December,2009,Adventure+Animation+Fantasy
3235,"[10751, 35]",60307,en,Diary of a Wimpy Kid: Rodrick Rules,"Wimpy Greg Heffley, now in seventh grade, thinks he has it all together. He has mastered middle school and gotten rid of the Cheese Touch. However, Greg's older brother, Rodrick, is itching to cut him down to size. He gets the perfect opportunity when their mother tries to force the boys to bond. Rodrick may be Greg's chief tormentor, but he feels his constant pranks are just what his little brother needs to prepare him for life's hard knocks.",6.9615,2011-03-25,6.682,1167,March,2011,Comedy+Family
3236,"[28, 18, 36]",1195631,en,William Tell,"The narrative unfolds in the 14th Century, when the European nations vie for supremacy within the Holy Roman Empire. The ambitious Austrian Empire, desiring more land, invades neighbouring Switzerland, a serene and pastoral nation. Protagonist William Tell, a formerly peaceful hunter, finds himself forced to take action as his family and homeland come under threat from the oppressive Austrian King and his ruthless warlords.",6.3538,2025-01-17,5.985,33,January,2025,Action+Drama+History
3237,"[16, 10751, 35]",378236,en,The Emoji Movie,"Gene, a multi-expressional emoji, sets out on a journey to become a normal emoji.",6.7626,2017-07-23,5.43,3148,July,2017,Animation+Comedy+Family
3239,[18],1071806,th,คนหิว เกมกระหาย,A talented young street-food cook pushes herself to the limit after accepting an invitation to train under an infamous and ruthless chef.,5.4259,2023-04-04,7.275,432,April,2023,Drama
3240,[18],714675,en,The American,"American ballet dancer Joy Womack is accepted into Moscow's infamously tough Bolshoi Ballet Academy, with the dream of becoming a great ballerina.",6.5536,2023-11-02,6.8,70,November,2023,Drama
3241,"[27, 53]",9730,en,Friday the 13th: The Final Chapter,"After his revival in a hospital morgue, Jason fixes his vengeful attention on the Jarvis family and a group of hitherto carefree teenagers.",6.9298,1984-04-13,6.102,1373,April,1984,Horror+Thriller
3242,"[28, 53]",3512,en,Under Siege 2: Dark Territory,"A passenger train has been hijacked by an electronics expert and turned into an untraceable command center for a weapons satellite. He has planned to blow up Washington DC and only one man can stop him, former Navy SEAL Casey Ryback.",6.9797,1995-07-13,5.9,930,July,1995,Action+Thriller
3243,"[35, 14]",9678,en,Little Nicky,"After the lord of darkness decides he will not cede his throne to any of his three sons, the two most powerful of them escape to Earth to create a kingdom for themselves. This action closes the portal filtering sinful souls to Hell and causes Satan to wither away. He must send his most weak but beloved son, Little Nicky, to Earth to return his brothers to Hell.",7.0315,2000-11-10,5.9,1855,November,2000,Comedy+Fantasy
3244,"[878, 12, 28]",430155,ru,Кома,"A young and talented architect comes to his senses after a horrific accident only to find himself in the odd dystopian world. A world that is filled with the memories of all current coma patients. Just like a human memory this world is fragmental, chaotic and unstable. This is COMA: icecaps, rivers and cities can all exist in a space of a single room and laws of physics are no longer laws as they can be bent.",5.9576,2020-01-01,6.406,562,January,2020,Action+Adventure+Science Fiction
3245,"[18, 53]",55,es,Amores perros,"A fatalistic car crash in Mexico city sets off a chain of events in the lives of three people: a supermodel, a young man wanting to run off with his sister-in-law, and a homeless man. Their lives are catapulted into unforeseen situations instigated by the seemingly inconsequential destiny of a dog.",6.1381,2000-06-16,7.622,2678,June,2000,Drama+Thriller
3246,[35],9472,en,DodgeBall: A True Underdog Story,"When megalomaniacal White Goodman, the owner of a trendy, high-end fitness center, makes a move to take over the struggling local gym run by happy-go-lucky Pete La Fleur, there's only one way for La Fleur to fight back: dodgeball. Aided by a dodgeball guru and Goodman's attorney, La Fleur and his rag-tag team of underdogs launch a knock-down, drag-out battle in which the winner takes all.",7.8969,2004-06-18,6.35,3561,June,2004,Comedy
3247,"[10749, 18]",222935,en,The Fault in Our Stars,"Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a patient named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten.",6.5059,2014-05-16,7.6,11258,May,2014,Drama+Romance
3248,"[28, 16, 18, 14, 10749]",283984,ja,劇場版「Fate/stay night [Heaven’s Feel]」Ⅰ.presage flower,"Shiro Emiya is a young magus who attends Homurahara Academy in Fuyuki City. One day after cleaning the Archery Dojo in his school, he catches a glimpse of a fight between superhuman beings, and he gets involved in the Holy Grail War, a ritual where magi called Masters fight each other with their Servants to win the Holy Grail. Shiro joins the battle to stop an evildoer from winning the Grail and to save innocent people, but everything goes wrong when a mysterious ""Shadow"" begins to indiscriminately kill people in Fuyuki...",6.9735,2017-10-14,7.487,236,October,2017,Action+Animation+Drama+Fantasy+Romance
3249,"[12, 16, 14, 10751]",309809,en,The Little Prince,"Based on the best-seller book 'The Little Prince', the movie tells the story of a little girl that lives with resignation in a world where efficiency and work are the only dogmas. Everything will change when accidentally she discovers her neighbor that will tell her about the story of the Little Prince that he once met.",5.9306,2015-07-29,7.612,2827,July,2015,Adventure+Animation+Family+Fantasy
3250,"[99, 80]",303477,en,"Hookers, Hustlers, Pimps and Their Johns",British filmmaker Beeban Kidron ventures onto the mean streets of the South Bronx and other New York locales to examine the lives of those involved in the city's thriving sex industry.,5.6542,1993-12-30,4.8,6,December,1993,Crime+Documentary
3251,"[16, 28, 10751, 35, 878]",539681,en,DC League of Super-Pets,"When Superman and the rest of the Justice League are kidnapped, Krypto the Super-Dog must convince a rag-tag shelter pack - Ace the hound, PB the potbellied pig, Merton the turtle and Chip the squirrel - to master their own newfound powers and help him rescue the superheroes.",7.6386,2022-07-27,7.204,1604,July,2022,Action+Animation+Comedy+Family+Science Fiction
3252,"[28, 53]",961484,en,Last Seen Alive,"After Will Spann's wife suddenly vanishes at a gas station, his desperate search to find her leads him down a dark path that forces him to run from authorities and take the law into his own hands.",6.315,2022-05-12,6.434,987,May,2022,Action+Thriller
3253,"[16, 14, 35, 10751]",1030588,ja,化け猫あんずちゃん,"Precocious tween Karin finds herself abandoned by her father in rural Japan. Living in a temple with her grandfather, she meets Anzu, a giant ""ghost cat"" and notorious layabout tasked with looking after her. Distrustful of her new guardian, Karin sabotages Anzu's odd jobs for the townsfolk and befriends the eccentric local forest spirits. In an effort to win Karin over, Anzu accidentally makes a deal with the devil, and all Hell breaks loose.",6.5151,2024-07-19,6.5,18,July,2024,Animation+Comedy+Family+Fantasy
3254,"[16, 28, 12, 14]",477447,ja,劇場版総集編 オーバーロード 不死者の王【前編】,"The first recap film of season 1 of the anime TV series Overlord, covering episodes 1 to 7. In the year 2138,  the popular online VR game Yggdrasil is quietly shut down one day. However, the player Momonga decides to not log out and is transformed into a powerful skeletal wizard upon shutdown. The game world continues to change, with non-player characters beginning to feel emotions. Confronted with this abnormal situation, Momonga and his loyal followers strive to investigate and take over the new world the game has become.",6.7896,2017-02-25,7.4,28,February,2017,Action+Adventure+Animation+Fantasy
3255,[18],38810,el,Κυνόδοντας,"Three teenagers are confined to an isolated country estate that could very well be on another planet. The trio spend their days listening to endless homemade tapes that teach them a whole new vocabulary. Any word that comes from beyond their family abode is instantly assigned a new meaning. Hence 'the sea' refers to a large armchair and 'zombies' are little yellow flowers. Having invented a brother whom they claim to have ostracized for his disobedience, the uber-controlling parents terrorize their offspring into submission.",6.0836,2009-10-22,7.1,2401,October,2009,Drama
3256,"[35, 80]",449562,en,The Hustle,"Two female scam artists, one low rent and the other high class, compete to swindle a naïve tech prodigy out of his fortune. A remake of the 1988 comedy ""Dirty Rotten Scoundrels.""",6.5532,2019-05-09,6.192,2542,May,2019,Comedy+Crime
3257,[35],2665,en,Airplane II: The Sequel,"A faulty computer causes a passenger space shuttle to head straight for the sun, and man-with-a-past Ted Striker must save the day and get the shuttle back on track – again – all the while trying to patch up his relationship with Elaine.",6.784,1982-12-10,6.1,1140,December,1982,Comedy
3258,"[28, 16, 878]",39102,ja,ドラゴンボールゼット 超スーパーサイヤ人じんだ孫そん悟ご空くう,A Super Namekian named Slug comes to invade Earth. But the Z Warriors do their best to stop Slug and his gang.,6.5948,1991-03-19,6.493,539,March,1991,Action+Animation+Science Fiction
3259,"[10402, 18]",504608,en,Rocketman,"The story of Elton John's life, from his years as a prodigy at the Royal Academy of Music through his influential and enduring musical partnership with Bernie Taupin.",7.6161,2019-05-17,7.322,4738,May,2019,Drama+Music
3261,"[12, 14, 28, 35, 10751]",18360,en,Night at the Museum: Battle of the Smithsonian,"Hapless museum night watchman Larry Daley must help his living, breathing exhibit friends out of a pickle now that they've been transferred to the archives at the Smithsonian Institution. Larry's (mis)adventures this time include close encounters with Amelia Earhart, Abe Lincoln and Ivan the Terrible.",6.26,2009-05-20,6.141,6949,May,2009,Action+Adventure+Comedy+Family+Fantasy
3262,[18],5741,en,Lorna,"Lorna and Jim have been married for a year but Lorna remains sexually unsatisfied. While he's at work, she is raped by an escaped convict, then becomes lustfully involved with him.",5.8426,1964-09-11,5.8,46,September,1964,Drama
3263,"[12, 28, 53]",668,en,On Her Majesty's Secret Service,"James Bond tracks his archnemesis, Ernst Blofeld, to a mountaintop retreat in the Swiss alps where he is training an army of beautiful, lethal women. Along the way, Bond falls for Italian contessa Tracy Draco, and marries her in order to get closer to Blofeld.",5.991,1969-12-18,6.575,1945,December,1969,Action+Adventure+Thriller
3265,[99],1067624,en,No Time to Fail,"Amidst an onslaught of attacks from a sitting President and the deadly threat of a global pandemic, local election administrators work around the clock to secure the vote for their community. Rhode Island’s election teams take center stage in this unprecedented voting adventure.",5.6733,2022-10-07,2.0,1,October,2022,Documentary
3266,[99],1214667,en,Making Squid Game: The Challenge,"Go behind the scenes and witness how the ""Squid Game""-inspired reality show transformed from a scripted drama to a cutthroat, nail-biting competition.",7.0932,2023-12-06,7.299,87,December,2023,Documentary
